nev;orszag;nem;szulev;urido
Yuri Artyukhin;URS;F;1930;15
Thomas Patten Stafford;USA;F;1930;21
Stanley G. Love;USA;F;1965;12
John Glenn;USA;F;1921;9
Steven Lindsey;USA;F;1960;62
Brewster Shaw;USA;F;1945;22
Ronald Garan;USA;F;1961;177
Sandra Magnus;USA;N;1964;157
Gennady Strekalov;URS;F;1940;268
Joseph Kerwin;USA;F;1932;28
Anthony W. England;USA;F;1942;7
Michael R. Barratt;USA;F;1959;211
Oleg Makarov;URS;F;1933;20
Sergey Prokopyev;RUS;F;1975;196
John Lounge;USA;F;1946;20
Christer Fuglesang;SWE;F;1957;26
Alexander Viktorenko;URS;F;1947;489
Aleksei Yeliseyev;URS;F;1934;8
David Hilmers;USA;F;1950;20
Mark C. Lee;USA;F;1952;32
G. David Low;USA;F;1956;29
Vladimír Remek;TCH;F;1948;7
Charles E. Brady, Jr.;USA;F;1951;16
Lee Archambault;USA;F;1960;26
Aleksandr Skvortsov;RUS;F;1966;345
Kenneth Cockrell;USA;F;1950;64
Yuri Malenchenko;RUS;F;1961;826
Chiaki Mukai;JPN;N;1952;23
Dafydd Williams;CAN;F;1954;28
Robert Satcher;USA;F;1965;10
Aleksei Leonov;URS;F;1934;7
William Readdy;USA;F;1952;28
William Oefelein;USA;F;1965;12
Yang Liwei;CHN;F;1965;0
Mark Polansky;USA;F;1956;41
Pedro Duque;ESP;F;1963;18
Daniel Brandenstein;USA;F;1943;32
Vyacheslav Zudov;URS;F;1942;2
Gerhard Thiele;GER;F;1953;11
Donald Williams;USA;F;1942;11
James Wetherbee;USA;F;1952;68
Gerald P. Carr;USA;F;1932;84
Guion Bluford;USA;F;1942;28
Aleksandar Panayotov Aleksandrov;BUL;F;1951;91
F. Drew Gaffney;USA;F;1946;9
Roger K. Crouch;USA;F;1940;19
Lloyd Hammond;USA;F;1952;19
George D. Zamka;USA;F;1962;28
Pierre Thuot;USA;F;1955;27
Charles Precourt;USA;F;1955;38
Akihiko Hoshide;JPN;F;1968;140
Gregory Linteris;USA;F;1957;19
Aleksandr Pavlovich Aleksandrov;URS;F;1943;309
James Dutton;USA;F;1968;15
Brian Binnie;USA;F;1953;0
Sergey Volkov;RUS;F;1973;547
John Herrington;USA;F;1958;14
Paolo A. Nespoli;ITA;F;1957;313
Kimiya Yui;JPN;F;1970;141
Konstantin Kozeyev;RUS;F;1967;9
Bruce Melnick;USA;F;1949;13
Vladimir Komarov;URS;F;1927;2
Mikhail Tyurin;RUS;F;1960;532
Jean-François Clervoy;FRA;F;1958;29
Aleksandr Ivanchenkov;URS;F;1940;139
Thomas Kenneth Mattingly II;USA;F;1936;21
Dick Scobee;USA;F;1939;6
Steven R. Nagel;USA;F;1946;30
Samantha Cristoforetti;ITA;N;1977;199
Richard Hieb;USA;F;1955;32
Kathleen Rubins;USA;N;1978;115
Aleksandr Lazutkin;RUS;F;1957;184
Timothy Creamer;USA;F;1959;163
Yelena Serova;RUS;N;1976;167
Leonid Kadeniuk;UKR;F;1951;15
Valeri Polyakov;RUS;F;1942;678
Robert L. Gibson;USA;F;1946;36
Yuri Gagarin;URS;F;1934;0
John O. Creighton;USA;F;1943;16
Thomas D. Jones;USA;F;1955;53
Konstantin Feoktistov;URS;F;1926;1
Kevin P. Chilton;USA;F;1954;29
Paul Weitz;USA;F;1932;33
Boris Volynov;URS;F;1934;52
Sergey Nikolayevich Ryzhikov;RUS;F;1974;173
Georgi Shonin;URS;F;1935;4
Zhang Xiaoguang;CHN;F;1966;14
Gregory R. Wiseman;USA;F;1975;165
Viktor Savinykh;URS;F;1940;242
Liu Boming;CHN;F;1966;2
Oleg Artemyev;RUS;F;1970;364
Susan Helms;USA;N;1958;210
Robert J. Cenker;USA;F;1948;6
James Halsell;USA;F;1956;52
Alexander Poleshchuk;RUS;F;1953;179
